Epoch,Test Loss,Accuracy,Num Dendrites,Num Somas,Total Parameters,Regularized,Model Type,RF Type
1,0.3680978813503362,0.8681,256,64,218058,False,vanilla,None
2,0.393585739633705,0.8549,128,16,102714,False,vanilla,None
2,0.3640590008301071,0.8664,128,64,109386,False,vanilla,None
2,0.35242773630196533,0.8699,256,64,218058,False,vanilla,None
3,0.35819892698450934,0.8706,128,16,102714,False,vanilla,None
3,0.34696054420893707,0.8765,128,64,109386,False,vanilla,None
3,0.334896745938289,0.8801,256,64,218058,False,vanilla,None
4,0.3582598359524449,0.8669,128,16,102714,False,vanilla,None
4,0.3427118719378604,0.8761,128,64,109386,False,vanilla,None
4,0.3484850309883492,0.872,256,64,218058,False,vanilla,None
5,0.3447681437187557,0.8741,128,16,102714,False,vanilla,None
5,0.3472256961313984,0.8733,128,64,109386,False,vanilla,None
5,0.33689366092410267,0.8801,256,64,218058,False,vanilla,None
6,0.33717920112458966,0.8786,128,16,102714,False,vanilla,None
6,0.3321840116117574,0.8801,128,64,109386,False,vanilla,None
6,0.3318347034009197,0.8853,256,64,218058,False,vanilla,None
7,0.3597698351250419,0.8702,128,16,102714,False,vanilla,None
7,0.3362029083544695,0.8811,128,64,109386,False,vanilla,None
7,0.3218918684162671,0.8894,256,64,218058,False,vanilla,None
8,0.3410531603082826,0.8783,128,16,102714,False,vanilla,None
8,0.35188231947301307,0.8743,128,64,109386,False,vanilla,None
8,0.3208446186743205,0.8879,256,64,218058,False,vanilla,None
9,0.33274964431795895,0.8813,128,16,102714,False,vanilla,None
9,0.34059500373617,0.8847,128,64,109386,False,vanilla,None
9,0.3336943967998782,0.8879,256,64,218058,False,vanilla,None
10,0.32489123865018915,0.8838,128,16,102714,False,vanilla,None
10,0.3516961130537564,0.883,128,64,109386,False,vanilla,None
10,0.33759257555762423,0.8893,256,64,218058,False,vanilla,None
11,0.3323659251762342,0.8819,128,16,102714,False,vanilla,None
11,0.3703857667838471,0.8768,128,64,109386,False,vanilla,None
11,0.3248725982406471,0.8914,256,64,218058,False,vanilla,None
12,0.34374115285994133,0.8781,128,16,102714,False,vanilla,None
12,0.34864471400085884,0.8835,128,64,109386,False,vanilla,None
12,0.3376657011199601,0.8914,256,64,218058,False,vanilla,None
13,0.33250757052174096,0.8865,128,16,102714,False,vanilla,None
13,0.3587780509945713,0.8861,128,64,109386,False,vanilla,None
13,0.3659444272140913,0.8884,256,64,218058,False,vanilla,None
14,0.34609778885599934,0.8813,128,16,102714,False,vanilla,None
14,0.3711157358145412,0.8866,128,64,109386,False,vanilla,None
14,0.34485323189557354,0.8899,256,64,218058,False,vanilla,None
15,0.33880705028017866,0.8855,128,16,102714,False,vanilla,None
15,0.3596179194842713,0.8906,128,64,109386,False,vanilla,None
15,0.35846985112639923,0.8942,256,64,218058,False,vanilla,None
16,0.34169691735053365,0.8865,128,16,102714,False,vanilla,None
16,0.3598798685058763,0.8875,128,64,109386,False,vanilla,None
16,0.3725834797266163,0.8935,256,64,218058,False,vanilla,None
17,0.35251985278122033,0.883,128,16,102714,False,vanilla,None
17,0.39364537030835695,0.8879,128,64,109386,False,vanilla,None
17,0.3722431868126121,0.8929,256,64,218058,False,vanilla,None
18,0.3595739283327815,0.8871,128,16,102714,False,vanilla,None
18,0.3792508050233503,0.89,128,64,109386,False,vanilla,None
18,0.3770453341399567,0.8919,256,64,218058,False,vanilla,None
19,0.3567205476987211,0.8842,128,16,102714,False,vanilla,None
19,0.3741950751105441,0.8917,128,64,109386,False,vanilla,None
19,0.3896105398860159,0.8933,256,64,218058,False,vanilla,None
0,0.459501824046992,0.8359,128,16,102714,True,vanilla,None
0,0.43363643654539613,0.8362,128,64,109386,True,vanilla,None
0,0.43301558381394495,0.8441,256,64,218058,True,vanilla,None
1,0.4174241027500056,0.8445,128,16,102714,True,vanilla,None
1,0.42311279136168806,0.8429,128,64,109386,True,vanilla,None
1,0.3850999553746815,0.8624,256,64,218058,True,vanilla,None
2,0.3849254403310486,0.8624,128,16,102714,True,vanilla,None
2,0.40437315838246407,0.8509,128,64,109386,True,vanilla,None
2,0.4140717234415344,0.8481,256,64,218058,True,vanilla,None
3,0.3899590156123608,0.8547,128,16,102714,True,vanilla,None
3,0.3683259890803808,0.8636,128,64,109386,True,vanilla,None
3,0.3548857990322234,0.8701,256,64,218058,True,vanilla,None
4,0.39548020215728613,0.8522,128,16,102714,True,vanilla,None
4,0.38539521320711206,0.8584,128,64,109386,True,vanilla,None
4,0.37877328297759916,0.8612,256,64,218058,True,vanilla,None
5,0.36558071740820436,0.8675,128,16,102714,True,vanilla,None
5,0.34699338957478726,0.8717,128,64,109386,True,vanilla,None
5,0.344636446973191,0.8743,256,64,218058,True,vanilla,None
6,0.364878144068054,0.8662,128,16,102714,True,vanilla,None
6,0.3402269686324687,0.8756,128,64,109386,True,vanilla,None
6,0.34845107359976707,0.8754,256,64,218058,True,vanilla,None
7,0.36980671388438985,0.8613,128,16,102714,True,vanilla,None
7,0.36695951949569244,0.8626,128,64,109386,True,vanilla,None
7,0.3882863627675968,0.8582,256,64,218058,True,vanilla,None
8,0.36907929351812674,0.8658,128,16,102714,True,vanilla,None
8,0.3621639843228497,0.8646,128,64,109386,True,vanilla,None
8,0.35326849093920065,0.8695,256,64,218058,True,vanilla,None
9,0.36728244425752493,0.8621,128,16,102714,True,vanilla,None
9,0.3700109045905403,0.8606,128,64,109386,True,vanilla,None
9,0.33536933702004107,0.8781,256,64,218058,True,vanilla,None
10,0.3500281720410419,0.8701,128,16,102714,True,vanilla,None
10,0.34715267902688135,0.8719,128,64,109386,True,vanilla,None
10,0.3482245814196671,0.8689,256,64,218058,True,vanilla,None
11,0.3407742668273328,0.8755,128,16,102714,True,vanilla,None
11,0.34664706744347945,0.8706,128,64,109386,True,vanilla,None
11,0.32454979730935035,0.8809,256,64,218058,True,vanilla,None
12,0.3475403699882423,0.8735,128,16,102714,True,vanilla,None
12,0.33477720137261135,0.8766,128,64,109386,True,vanilla,None
12,0.34425010418967356,0.8741,256,64,218058,True,vanilla,None
13,0.3315666988492012,0.879,128,16,102714,True,vanilla,None
13,0.33219111682493474,0.8786,128,64,109386,True,vanilla,None
13,0.33232714745062814,0.8792,256,64,218058,True,vanilla,None
14,0.35350972310274464,0.8697,128,16,102714,True,vanilla,None
14,0.3367260868036294,0.8772,128,64,109386,True,vanilla,None
14,0.3299910538370096,0.8807,256,64,218058,True,vanilla,None
15,0.3673857038817074,0.8636,128,16,102714,True,vanilla,None
15,0.3415073467583596,0.8713,128,64,109386,True,vanilla,None
15,0.33091652534807786,0.88,256,64,218058,True,vanilla,None
16,0.35473846361229694,0.8676,128,16,102714,True,vanilla,None
16,0.3238552987952776,0.8812,128,64,109386,True,vanilla,None
16,0.35132778162443185,0.8735,256,64,218058,True,vanilla,None
17,0.33845857431805587,0.8755,128,16,102714,True,vanilla,None
17,0.3379713700541967,0.8806,128,64,109386,True,vanilla,None
17,0.3272347448370125,0.8811,256,64,218058,True,vanilla,None
18,0.34209933966586864,0.8719,128,16,102714,True,vanilla,None
18,0.3269105916724929,0.8799,128,64,109386,True,vanilla,None
18,0.3599181213899504,0.8685,256,64,218058,True,vanilla,None
19,0.33951633998864816,0.8779,128,16,102714,True,vanilla,None
19,0.3366108504654486,0.8778,128,64,109386,True,vanilla,None
19,0.33431531168237516,0.8767,256,64,218058,True,vanilla,None
0,0.6589711946022662,0.7561,256,128,235146,False,dendritic,global
0,0.9224133921574943,0.6468,128,32,104938,False,dendritic,global
0,0.7158547692661044,0.7369,256,32,209514,False,dendritic,global
1,0.5388816928938974,0.8082,256,128,235146,False,dendritic,global
1,0.7865377098699159,0.7163,128,32,104938,False,dendritic,global
1,0.5951001772397682,0.7856,256,32,209514,False,dendritic,global
2,0.4952582339697246,0.8213,256,128,235146,False,dendritic,global
2,0.7100363170044331,0.7484,128,32,104938,False,dendritic,global
2,0.553971381881569,0.8033,256,32,209514,False,dendritic,global
3,0.4729877414205406,0.8311,256,128,235146,False,dendritic,global
3,0.665927966184254,0.7616,128,32,104938,False,dendritic,global
3,0.5286661058287078,0.8102,256,32,209514,False,dendritic,global
4,0.45773982171770894,0.8363,256,128,235146,False,dendritic,global
4,0.6380124450484409,0.7711,128,32,104938,False,dendritic,global
4,0.5118929004367394,0.8177,256,32,209514,False,dendritic,global
5,0.446879235626776,0.8387,256,128,235146,False,dendritic,global
